City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,las tablas,7.7667,-80.2833,83.17,99,100,9.4,PA,1712878135
82,port mathurin,-19.6833,63.4167,79.88,77,7,10.8,MU,1712878135
83,ventspils,57.3894,21.5606,42.73,100,100,17.27,LV,1712878135
84,utrik,11.2278,169.8474,80.04,74,97,20.69,MH,1712878135
85,kaduna,10.5222,7.4383,82.98,11,100,6.29,NG,1712878135
86,nar'yan-mar,67.6713,53.087,35.11,100,100,17.0,RU,1712878135
87,timimoun,29.2639,0.231,66.58,13,0,8.05,DZ,1712878135
88,alegrete,-29.7831,-55.7919,64.17,76,100,19.42,BR,1712878136
89,labuan,5.2767,115.2417,82.76,89,20,2.3,MY,1712878136
90,vilyuysk,63.7553,121.6247,-2.0,96,68,5.99,RU,1712878136
91,mariental,-24.6333,17.9667,68.04,35,0,11.97,NA,1712878136
92,colonia,50.9333,6.95,58.82,82,100,0.0,DE,1712877937
93,adamstown,-25.066,-130.1015,69.91,54,4,12.5,PN,1712878136
94,enewetak,11.3474,162.3373,80.49,79,95,21.47,MH,1712878136
95,badger,64.8,-147.5333,44.98,43,75,11.5,US,1712878137
96,dunedin,-45.8742,170.5036,48.79,94,100,3.0,NZ,1712878026
97,lihue,21.9789,-159.3672,81.64,79,0,4.61,US,1712878137
98,papatowai,-46.5619,169.4708,46.62,81,100,4.72,NZ,1712878137
99,sao raimundo das mangabeiras,-7.0219,-45.4811,79.21,82,71,3.94,BR,1712878137
100,parakou,9.3372,2.6303,86.83,54,97,11.32,BJ,1712878137
101,castillos,-34.1667,-53.8333,62.06,58,99,7.07,UY,1712878138
102,yoloten,37.2989,62.3597,68.74,35,79,9.57,TM,1712878138
103,arkhangel'sk,64.5401,40.5433,41.13,65,40,15.66,RU,1712878138
104,wailua homesteads,22.0669,-159.378,81.03,83,0,4.61,US,1712878138
105,barakani,-12.1356,44.4317,82.63,78,100,5.7,KM,1712878138
106,sur,22.5667,59.5289,85.57,45,82,8.66,OM,1712878138
107,skive,56.5667,9.0333,47.1,94,92,3.0,DK,1712878138
108,avarua,-21.2078,-159.775,82.45,94,100,14.97,CK,1712878138
109,kiama,-34.6833,150.8667,67.24,79,0,1.01,AU,1712878139
110,susanville,40.4163,-120.653,75.04,23,0,11.01,US,1712877962
111,isafjordur,66.0755,-23.124,26.83,94,100,30.18,IS,1712878139
112,puerto baquerizo moreno,-0.9,-89.6,79.14,82,59,7.29,EC,1712878139
